Atom Name,VDW Radius
O5',1.53
H5T,1.2
C5',1.7
H5'1,1.24
H5'2,1.24
C4',1.7
H4',1.24
O4',1.5
C1',1.7
H1',1.15
N9,1.62
C8,1.7
H8,1.21
N7,1.62
C5,1.7
C6,1.7
N6,1.62
H61,0.53
H62,0.53
N1,1.62
C2,1.7
H2,1.21
N3,1.62
C4,1.7
C3',1.7
H3',1.24
C2',1.7
H2'1,1.32
H2'2,1.32
O3',1.5
P,1.87
O1P,1.48
O2P,1.48
O5',1.5
H6,1.26
C7,1.7
H71,1.32
H72,1.32
H73,1.32
O4,1.48
H3,0.53
O2,1.48
H5,1.3
N4,1.62
H41,0.53
H42,0.53
O6,1.48
H1,0.53
N2,1.62
H21,0.53
H22,0.53
O3',1.53
H3T,1.2
N,1.62
H2,0.53
CA,1.7
HA,0.98
CB,1.7
HB1,1.32
HB2,1.32
CG,1.7
OD1,1.48
OD2,1.48
C,1.7
O,1.48
H,0.53
HA,1.24
HB,1.24
CG2,1.7
HG21,1.32
HG22,1.32
HG23,1.32
OG1,1.53
HG1,1.2
HG1,1.32
HG2,1.32
CD,1.7
OE1,1.48
OE2,1.48
ND2,1.62
HD21,0.53
HD22,0.53
HB,1.32
CG1,1.7
HG11,1.32
HG12,1.32
HG13,1.32
HD1,1.32
HD2,1.32
CE,1.7
HE1,0.98
HE2,0.98
NZ,1.62
HZ1,0.53
HZ2,0.53
HZ3,0.53
HD1,1.24
HD2,1.24
NE,1.62
HE,0.53
CZ,1.7
NH1,1.62
HH11,0.53
HH12,0.53
NH2,1.62
HH21,0.53
HH22,0.53
ND1,1.62
CE1,1.7
HE1,1.21
NE2,1.62
HE2,0.53
CD2,1.7
HD2,1.26
HG,1.32
CD1,1.7
HD11,1.32
HD12,1.32
HD13,1.32
HD21,1.32
HD22,1.32
HD23,1.32
HE21,0.53
HE22,0.53
HB1,1.24
HB2,1.24
OG,1.53
HG,1.2
HD1,1.3
HE1,1.3
HZ,1.3
CE2,1.7
HE2,1.3
HD2,1.3
HB3,1.32
HD3,1.32
OH,1.53
HH,1.2
SG,1.78
HG,0.53
OC1,1.48
OC2,1.48
HA1,1.24
HA2,1.24
HG1,1.24
HG2,1.24
SD,1.78
HE1,1.24
HE2,1.24
HE3,1.24
